"disease","description"
"drug reaction","an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs."
"malaria","an infectious disease caused by protozoan parasites from the plasmodium family that can be transmitted by the bite of the anopheles mosquito or by a contaminated needle or transfusion. falciparum malaria is the most deadly type."
"allergy","an allergy is an immune system response to a foreign substance that's not typically harmful to your body.they can include certain foods, pollen, or pet dander. your immune system's job is to keep you healthy by fighting harmful pathogens."
"hypothyroidism","hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
"psoriasis","psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. psoriasis can't be passed from person to person. it does sometimes happen in members of the same family."
"gerd","gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd."
"chronic cholestasis","chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
"hepatitis a","hepatitis a is a highly contagious liver infection caused by the hepatitis a virus. the virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function."
"osteoarthristis","osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. it occurs when the protective cartilage that cushions the ends of your bones wears down over time."
"(vertigo) paroymsal positional vertigo","benign paroxysmal positional vertigo (bppv) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness."
"hypoglycemia","hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. glucose is your body's main energy source. hypoglycemia is often related to diabetes treatment. but other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes."
"acne","acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). acne develops on the face and upper trunk. it most often affects adolescents."
"diabetes","diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. blood glucose is your main source of energy and comes from the food you eat. insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
"impetigo","impetigo (im-puh-tie-go) is a common and highly contagious skin infection that mainly affects infants and children. impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. the sores burst and develop honey-colored crusts."
"hypertension","hypertension (htn or ht), also known as high blood pressure (hbp), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. high blood pressure typically does not cause symptoms."
"peptic ulcer diseae","peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
"dimorphic hemorrhoids(piles)","hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. in their ... other names, haemorrhoids, piles, hemorrhoidal disease ."
"common cold","the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold."
"chicken pox","chickenpox is a highly contagious disease caused by the varicella-zoster virus (vzv). it can cause an itchy, blister-like rash. the rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
"cervical spondylosis","cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. as the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
"hyperthyroidism","hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
"urinary tract infection","urinary tract infection: an infection of the kidney, ureter, bladder, or urethra. abbreviated uti. not everyone with a uti has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
"varicose veins","a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs."
"aids","acquired immunodeficiency syndrome (aids) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (hiv). by damaging your immune system, hiv interferes with your body's ability to fight infection and disease."
"paralysis (brain hemorrhage)","intracerebral hemorrhage (ich) is when blood suddenly bursts into brain tissue, causing damage to your brain. symptoms usually appear suddenly during ich. they include headache, weakness, confusion, and paralysis, particularly on one side of your body."
"typhoid","an acute illness characterized by fever caused by infection with the bacterium salmonella typhi. typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. diarrhea is uncommon, and vomiting is not usually severe."
"hepatitis b","hepatitis b is an infection of your liver. it can cause scarring of the organ, liver failure, and cancer. it can be fatal if it isn't treated. it's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis b virus."
"fungal infection","in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi."
"hepatitis c","inflammation of the liver due to the hepatitis c virus (hcv), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. the damage hepatitis c does to the liver can lead to cirrhosis and its complications as well as cancer."
"migraine","a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
"bronchial asthma","bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. the disease is chronic and interferes with daily working."
"alcoholic hepatitis","alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. it's also aggravated by binge drinking and ongoing alcohol use. if you develop this condition, you must stop drinking alcohol"
"jaundice","yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. the yellowing extends to other tissues and body fluids. jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
"hepatitis e","a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease."
"dengue","an acute infectious disease caused by a flavivirus (species dengue virus of the genus flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
