disease,symptoms
fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches"
fungal infection,"skin rash, nodal skin eruptions, dischromic  patches"
fungal infection,"itching, nodal skin eruptions, dischromic  patches"
fungal infection,"itching, skin rash, dischromic  patches"
fungal infection,"itching, skin rash, nodal skin eruptions"
allergy,"continuous sneezing, shivering, chills, watering from eyes"
allergy,"shivering, chills, watering from eyes"
allergy,"continuous sneezing, chills, watering from eyes"
allergy,"continuous sneezing, shivering, watering from eyes"
allergy,"continuous sneezing, shivering, chills"
gerd,"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain"
gerd,"stomach pain, ulcers on tongue, vomiting, cough, chest pain"
gerd,"stomach pain, acidity, vomiting, cough, chest pain"
gerd,"stomach pain, acidity, ulcers on tongue, cough, chest pain"
gerd,"stomach pain, acidity, ulcers on tongue, vomiting, chest pain"
gerd,"stomach pain, acidity, ulcers on tongue, vomiting, cough"
gerd,"acidity, ulcers on tongue, vomiting, cough, chest pain"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes"
chronic cholestasis,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain"
drug reaction,"itching, skin rash, stomach pain, burning micturition, spotting  urination"
drug reaction,"itching, stomach pain, burning micturition, spotting  urination"
drug reaction,"itching, skin rash, burning micturition, spotting  urination"
drug reaction,"itching, skin rash, stomach pain, spotting  urination"
drug reaction,"itching, skin rash, stomach pain, burning micturition"
drug reaction,"skin rash, stomach pain, burning micturition, spotting  urination"
peptic ulcer diseae,"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching"
peptic ulcer diseae,"vomiting, indigestion, abdominal pain, passage of gases, internal itching"
peptic ulcer diseae,"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching"
peptic ulcer diseae,"vomiting, indigestion, loss of appetite, passage of gases, internal itching"
peptic ulcer diseae,"vomiting, indigestion, loss of appetite, abdominal pain, internal itching"
